sync offset 1, symmetry error 1, decoded packets
1000.0, 10.0, 1.0
6000.0, 10.0, 1.0
11000.0, 10.0, 1.0
16000.0, 10.0, 1.0
21000.0, 10.0, 1.0
26000.0, 10.0, 1.0
31000.0, 10.0, 1.0
36000.0, 10.0, 1.0
41000.0, 10.0, 1.0
46000.0, 10.0, 1.0
1000.0, 60.0, 2.0
6000.0, 60.0, 7.0
11000.0, 60.0, 7.0
16000.0, 60.0, 7.0
21000.0, 60.0, 7.0
26000.0, 60.0, 6.0
31000.0, 60.0, 6.0
36000.0, 60.0, 0.0
41000.0, 60.0, 0.0
46000.0, 60.0, 0.0
1000.0, 110.0, 2.0
6000.0, 110.0, 7.0
11000.0, 110.0, 7.0
16000.0, 110.0, 7.0
21000.0, 110.0, 7.0
26000.0, 110.0, 6.0
31000.0, 110.0, 6.0
36000.0, 110.0, 0.0
41000.0, 110.0, 0.0
46000.0, 110.0, 0.0
1000.0, 160.0, 2.0
6000.0, 160.0, 7.0
11000.0, 160.0, 7.0
16000.0, 160.0, 7.0
21000.0, 160.0, 7.0
26000.0, 160.0, 6.0
31000.0, 160.0, 6.0
36000.0, 160.0, 0.0
41000.0, 160.0, 0.0
46000.0, 160.0, 0.0
1000.0, 210.0, 2.0
6000.0, 210.0, 7.0
11000.0, 210.0, 7.0
16000.0, 210.0, 7.0
21000.0, 210.0, 7.0
26000.0, 210.0, 6.0
31000.0, 210.0, 6.0
36000.0, 210.0, 0.0
41000.0, 210.0, 0.0
46000.0, 210.0, 0.0
1000.0, 260.0, 2.0
6000.0, 260.0, 7.0
11000.0, 260.0, 7.0
16000.0, 260.0, 7.0
21000.0, 260.0, 7.0
26000.0, 260.0, 6.0
31000.0, 260.0, 6.0
36000.0, 260.0, 0.0
41000.0, 260.0, 0.0
46000.0, 260.0, 0.0
1000.0, 310.0, 2.0
6000.0, 310.0, 2.0
11000.0, 310.0, 2.0
16000.0, 310.0, 7.0
21000.0, 310.0, 7.0
26000.0, 310.0, 9.0
31000.0, 310.0, 6.0
36000.0, 310.0, 3.0
41000.0, 310.0, 0.0
46000.0, 310.0, 0.0
1000.0, 360.0, 2.0
6000.0, 360.0, 2.0
11000.0, 360.0, 2.0
16000.0, 360.0, 7.0
21000.0, 360.0, 7.0
26000.0, 360.0, 9.0
31000.0, 360.0, 6.0
36000.0, 360.0, 3.0
41000.0, 360.0, 0.0
46000.0, 360.0, 0.0
1000.0, 410.0, 2.0
6000.0, 410.0, 2.0
11000.0, 410.0, 2.0
16000.0, 410.0, 6.0
21000.0, 410.0, 7.0
26000.0, 410.0, 9.0
31000.0, 410.0, 6.0
36000.0, 410.0, 3.0
41000.0, 410.0, 0.0
46000.0, 410.0, 1.0
1000.0, 460.0, 1.0
6000.0, 460.0, 1.0
11000.0, 460.0, 2.0
16000.0, 460.0, 1.0
21000.0, 460.0, 7.0
26000.0, 460.0, 7.0
31000.0, 460.0, 8.0
36000.0, 460.0, 3.0
41000.0, 460.0, 1.0
46000.0, 460.0, 1.0
1000.0, 510.0, 1.0
6000.0, 510.0, 1.0
11000.0, 510.0, 2.0
16000.0, 510.0, 1.0
21000.0, 510.0, 7.0
26000.0, 510.0, 7.0
31000.0, 510.0, 8.0
36000.0, 510.0, 3.0
41000.0, 510.0, 1.0
46000.0, 510.0, 1.0
1000.0, 560.0, 1.0
6000.0, 560.0, 1.0
11000.0, 560.0, 2.0
16000.0, 560.0, 2.0
21000.0, 560.0, 9.0
26000.0, 560.0, 9.0
31000.0, 560.0, 6.0
36000.0, 560.0, 3.0
41000.0, 560.0, 1.0
46000.0, 560.0, 1.0
1000.0, 610.0, 1.0
6000.0, 610.0, 1.0
11000.0, 610.0, 1.0
16000.0, 610.0, 2.0
21000.0, 610.0, 2.0
26000.0, 610.0, 9.0
31000.0, 610.0, 8.0
36000.0, 610.0, 3.0
41000.0, 610.0, 1.0
46000.0, 610.0, 0.0
1000.0, 660.0, 1.0
6000.0, 660.0, 1.0
11000.0, 660.0, 1.0
16000.0, 660.0, 2.0
21000.0, 660.0, 2.0
26000.0, 660.0, 9.0
31000.0, 660.0, 8.0
36000.0, 660.0, 3.0
41000.0, 660.0, 1.0
46000.0, 660.0, 0.0
1000.0, 710.0, 1.0
6000.0, 710.0, 1.0
11000.0, 710.0, 1.0
16000.0, 710.0, 2.0
21000.0, 710.0, 2.0
26000.0, 710.0, 9.0
31000.0, 710.0, 8.0
36000.0, 710.0, 3.0
41000.0, 710.0, 1.0
46000.0, 710.0, 0.0
1000.0, 760.0, 1.0
6000.0, 760.0, 1.0
11000.0, 760.0, 1.0
16000.0, 760.0, 2.0
21000.0, 760.0, 2.0
26000.0, 760.0, 9.0
31000.0, 760.0, 8.0
36000.0, 760.0, 3.0
41000.0, 760.0, 1.0
46000.0, 760.0, 0.0
1000.0, 810.0, 1.0
6000.0, 810.0, 1.0
11000.0, 810.0, 1.0
16000.0, 810.0, 2.0
21000.0, 810.0, 2.0
26000.0, 810.0, 9.0
31000.0, 810.0, 8.0
36000.0, 810.0, 3.0
41000.0, 810.0, 1.0
46000.0, 810.0, 0.0
1000.0, 860.0, 1.0
6000.0, 860.0, 1.0
11000.0, 860.0, 1.0
16000.0, 860.0, 2.0
21000.0, 860.0, 2.0
26000.0, 860.0, 9.0
31000.0, 860.0, 8.0
36000.0, 860.0, 3.0
41000.0, 860.0, 1.0
46000.0, 860.0, 0.0
1000.0, 910.0, 1.0
6000.0, 910.0, 0.0
11000.0, 910.0, 0.0
16000.0, 910.0, 2.0
21000.0, 910.0, 1.0
26000.0, 910.0, 2.0
31000.0, 910.0, 3.0
36000.0, 910.0, 2.0
41000.0, 910.0, 0.0
46000.0, 910.0, 1.0
1000.0, 960.0, 1.0
6000.0, 960.0, 0.0
11000.0, 960.0, 0.0
16000.0, 960.0, 2.0
21000.0, 960.0, 1.0
26000.0, 960.0, 2.0
31000.0, 960.0, 2.0
36000.0, 960.0, 2.0
41000.0, 960.0, 0.0
46000.0, 960.0, 1.0
1000.0, 1010.0, 1.0
6000.0, 1010.0, 0.0
11000.0, 1010.0, 0.0
16000.0, 1010.0, 2.0
21000.0, 1010.0, 1.0
26000.0, 1010.0, 2.0
31000.0, 1010.0, 2.0
36000.0, 1010.0, 2.0
41000.0, 1010.0, 0.0
46000.0, 1010.0, 1.0
1000.0, 1060.0, 1.0
6000.0, 1060.0, 0.0
11000.0, 1060.0, 1.0
16000.0, 1060.0, 2.0
21000.0, 1060.0, 1.0
26000.0, 1060.0, 4.0
31000.0, 1060.0, 4.0
36000.0, 1060.0, 2.0
41000.0, 1060.0, 4.0
46000.0, 1060.0, 4.0
1000.0, 1110.0, 1.0
6000.0, 1110.0, 0.0
11000.0, 1110.0, 1.0
16000.0, 1110.0, 2.0
21000.0, 1110.0, 1.0
26000.0, 1110.0, 3.0
31000.0, 1110.0, 4.0
36000.0, 1110.0, 2.0
41000.0, 1110.0, 4.0
46000.0, 1110.0, 4.0
1000.0, 1160.0, 1.0
6000.0, 1160.0, 0.0
11000.0, 1160.0, 1.0
16000.0, 1160.0, 2.0
21000.0, 1160.0, 1.0
26000.0, 1160.0, 3.0
31000.0, 1160.0, 4.0
36000.0, 1160.0, 2.0
41000.0, 1160.0, 4.0
46000.0, 1160.0, 4.0
1000.0, 1210.0, 1.0
6000.0, 1210.0, 0.0
11000.0, 1210.0, 1.0
16000.0, 1210.0, 2.0
21000.0, 1210.0, 1.0
26000.0, 1210.0, 3.0
31000.0, 1210.0, 4.0
36000.0, 1210.0, 2.0
41000.0, 1210.0, 4.0
46000.0, 1210.0, 4.0
