loop filter i	 loop filter gain	 decoded packets
0.0016	0.17	29
0.0017	0.17	28
0.0018	0.17	28
0.0014	0.12	27
0.0013	0.14	27
0.001	0.15	27
0.0013	0.15	27
0.0014	0.15	27
0.0014	0.12	27
0.0015	0.12	27
0.0016	0.12	27
0.002	0.12	27
0.0017	0.13	27
0.0018	0.13	27
0.0013	0.14	27
0.0016	0.14	27
0.0019	0.14	27
0.002	0.14	27
0.0013	0.15	27
0.0014	0.15	27
0.0015	0.15	27
0.0016	0.15	27
0.0017	0.15	27
0.0019	0.15	27
0.002	0.15	27
0.0012	0.16	27
0.0014	0.16	27
0.0015	0.16	27
0.0016	0.16	27
0.0017	0.16	27
0.0018	0.16	27
0.0019	0.16	27
0.002	0.16	27
0.0012	0.17	27
0.0013	0.17	27
0.0014	0.17	27
0.0019	0.17	27
0.002	0.17	27
0.0012	0.18	27
0.0013	0.18	27
0.0014	0.18	27
0.0015	0.18	27
0.0016	0.18	27
0.0017	0.18	27
0.0018	0.18	27
0.0019	0.18	27
0.002	0.18	27
0.0013	0.19	27
0.0014	0.19	27
0.0016	0.19	27
0.0017	0.19	27
0.0018	0.19	27
0.0019	0.19	27
0.002	0.19	27
0.0012	0.1	26
0.0013	0.1	26
0.0013	0.11	26
0.0014	0.11	26
0.0011	0.12	26
0.0013	0.12	26
0.0008	0.13	26
0.0009	0.13	26
0.001	0.13	26
0.0012	0.13	26
0.0008	0.14	26
0.0009	0.14	26
0.001	0.14	26
0.0011	0.14	26
0.0012	0.14	26
0.0014	0.14	26
0.0008	0.15	26
0.0009	0.15	26
0.0011	0.15	26
0.0012	0.15	26
0.0013	0.12	26
0.0012	0.13	26
0.0015	0.13	26
0.0016	0.13	26
0.0019	0.13	26
0.0012	0.14	26
0.0014	0.14	26
0.0015	0.14	26
0.0017	0.14	26
0.0018	0.14	26
0.0012	0.15	26
0.0018	0.15	26
0.0013	0.16	26
0.0015	0.17	26
0.0012	0.19	26
0.0015	0.19	26
0.0014	0.08	25
0.001	0.09	25
0.0011	0.09	25
0.0009	0.11	25
0.001	0.11	25
0.0011	0.11	25
0.0008	0.12	25
0.0009	0.12	25
0.001	0.12	25
0.0012	0.12	25
0.0011	0.13	25
0.0013	0.13	25
0.0014	0.13	25
0.0012	0.12	25
0.0018	0.12	25
0.0019	0.12	25
0.0013	0.13	25
0.0014	0.13	25
0.0009	0.1	24
0.001	0.1	24
0.0014	0.1	24
0.0008	0.11	24
0.001	0.08	23
0.0011	0.08	23
0.0012	0.08	23
0.0013	0.08	23
0.0012	0.09	23
0.0012	0.11	23
0.002	0.13	23
0.0009	0.08	22
0.0009	0.09	22
0.0013	0.09	22
0.0014	0.09	22
0.0008	0.1	22
0.0011	0.1	22
0.0017	0.12	22
0.0008	0.09	21
0.0008	0.08	18
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
