loop filter i	 loop filter gain	 decoded packets
0.0012	0.12	36
0.0013	0.12	36
0.0014	0.12	38
0.0015	0.12	39
0.0016	0.12	36
0.0017	0.12	37
0.0018	0.12	34
0.0019	0.12	37
0.002	0.12	37
0.0021	0.12	36
0.0022	0.12	38
0.0023	0.12	37
0.0024	0.12	38
0.0025	0.12	37
0.0012	0.13	36
0.0013	0.13	39
0.0014	0.13	38
0.0015	0.13	37
0.0016	0.13	37
0.0017	0.13	37
0.0018	0.13	37
0.0019	0.13	36
0.002	0.13	35
0.0021	0.13	38
0.0022	0.13	37
0.0023	0.13	36
0.0024	0.13	38
0.0025	0.13	37
0.0012	0.14	39
0.0013	0.14	39
0.0014	0.14	35
0.0015	0.14	33
0.0016	0.14	36
0.0017	0.14	37
0.0018	0.14	34
0.0019	0.14	38
0.002	0.14	37
0.0021	0.14	39
0.0022	0.14	35
0.0023	0.14	37
0.0024	0.14	38
0.0025	0.14	38
0.0012	0.15	37
0.0013	0.15	37
0.0014	0.15	38
0.0015	0.15	35
0.0016	0.15	37
0.0017	0.15	37
0.0018	0.15	38
0.0019	0.15	38
0.002	0.15	39
0.0021	0.15	38
0.0022	0.15	38
0.0023	0.15	38
0.0024	0.15	40
0.0025	0.15	37
0.0012	0.16	38
0.0013	0.16	37
0.0014	0.16	34
0.0015	0.16	38
0.0016	0.16	38
0.0017	0.16	36
0.0018	0.16	37
0.0019	0.16	38
0.002	0.16	38
0.0021	0.16	37
0.0022	0.16	37
0.0023	0.16	37
0.0024	0.16	36
0.0025	0.16	0
0.0012	0.17	39
0.0013	0.17	38
0.0014	0.17	38
0.0015	0.17	37
0.0016	0.17	38
0.0017	0.17	37
0.0018	0.17	39
0.0019	0.17	39
0.002	0.17	38
0.0021	0.17	37
0.0022	0.17	38
0.0023	0.17	38
0.0024	0.17	38
0.0025	0.17	38
0.0012	0.18	37
0.0013	0.18	39
0.0014	0.18	39
0.0015	0.18	37
0.0016	0.18	37
0.0017	0.18	38
0.0018	0.18	39
0.0019	0.18	38
0.002	0.18	38
0.0021	0.18	39
0.0022	0.18	36
0.0023	0.18	37
0.0024	0.18	36
0.0025	0.18	40
0.0012	0.19	39
0.0013	0.19	37
0.0014	0.19	35
0.0015	0.19	36
0.0016	0.19	39
0.0017	0.19	38
0.0018	0.19	37
0.0019	0.19	37
0.002	0.19	37
0.0021	0.19	38
0.0022	0.19	38
0.0023	0.19	37
0.0024	0.19	0
0.0025	0.19	39
0.0012	0.2	38
0.0013	0.2	37
0.0014	0.2	38
0.0015	0.2	35
0.0016	0.2	39
0.0017	0.2	38
0.0018	0.2	36
0.0019	0.2	36
0.002	0.2	38
0.0021	0.2	38
0.0022	0.2	40
0.0023	0.2	38
0.0024	0.2	37
0.0025	0.2	39
0.0012	0.21	37
0.0013	0.21	36
0.0014	0.21	37
0.0015	0.21	38
0.0016	0.21	38
0.0017	0.21	36
0.0018	0.21	37
0.0019	0.21	36
0.002	0.21	39
0.0021	0.21	37
0.0022	0.21	38
0.0023	0.21	38
0.0024	0.21	38
0.0025	0.21	38
0.0012	0.22	37
0.0013	0.22	37
0.0014	0.22	36
0.0015	0.22	37
0.0016	0.22	37
0.0017	0.22	36
0.0018	0.22	38
0.0019	0.22	37
0.002	0.22	37
0.0021	0.22	39
0.0022	0.22	35
0.0023	0.22	37
0.0024	0.22	38
0.0025	0.22	38
0.0012	0.23	37
0.0013	0.23	36
0.0014	0.23	38
0.0015	0.23	37
0.0016	0.23	37
0.0017	0.23	37
0.0018	0.23	38
0.0019	0.23	37
0.002	0.23	37
0.0021	0.23	36
0.0022	0.23	39
0.0023	0.23	37
0.0024	0.23	37
0.0025	0.23	37
0.0012	0.24	38
0.0013	0.24	36
0.0014	0.24	37
0.0015	0.24	38
0.0016	0.24	37
0.0017	0.24	36
0.0018	0.24	37
0.0019	0.24	36
0.002	0.24	37
0.0021	0.24	38
0.0022	0.24	39
0.0023	0.24	38
0.0024	0.24	37
0.0025	0.24	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
