loop filter i	 loop filter gain	 decoded packets
0.0021	0.15	10
0.0018	0.16	10
0.0019	0.17	10
0.0004	0.15	10
0.0006	0.15	10
0.0008	0.15	10
0.001	0.15	10
0.0012	0.15	10
0.0007	0.16	10
0.0009	0.16	10
0.001	0.16	10
0.0011	0.16	10
0.0004	0.17	10
0.0008	0.17	10
0.001	0.17	10
0.0009	0.18	10
0.0012	0.04	10
0.0004	0.05	10
0.0005	0.05	10
0.0006	0.05	10
0.0008	0.05	10
0.0009	0.05	10
0.001	0.05	10
0.0013	0.05	10
0.0004	0.06	10
0.0005	0.06	10
0.0006	0.06	10
0.0007	0.06	10
0.0008	0.06	10
0.0011	0.06	10
0.0012	0.06	10
0.0013	0.06	10
0.0005	0.07	10
0.0007	0.07	10
0.0008	0.07	10
0.0009	0.07	10
0.0011	0.07	10
0.0012	0.07	10
0.0004	0.08	10
0.0005	0.08	10
0.0006	0.08	10
0.0007	0.08	10
0.0008	0.08	10
0.0009	0.08	10
0.001	0.08	10
0.0011	0.08	10
0.0012	0.08	10
0.0005	0.09	10
0.0006	0.09	10
0.0007	0.09	10
0.0008	0.09	10
0.0009	0.09	10
0.0011	0.09	10
0.0007	0.1	10
0.0008	0.11	10
0.001	0.11	10
0.0004	0.12	10
0.0005	0.12	10
0.0012	0.12	10
0.0005	0.13	10
0.0006	0.13	10
0.0008	0.13	10
0.001	0.13	10
0.0011	0.13	10
0.0004	0.14	10
0.0005	0.14	10
0.0007	0.14	10
0.0008	0.14	10
0.001	0.14	10
0.0011	0.14	10
0.0012	0.14	10
0.0017	0.04	10
0.0018	0.04	10
0.0019	0.04	10
0.002	0.04	10
0.0021	0.04	10
0.0022	0.04	10
0.0023	0.04	10
0.0025	0.04	10
0.0015	0.05	10
0.0016	0.05	10
0.0017	0.05	10
0.0018	0.05	10
0.0022	0.05	10
0.0024	0.05	10
0.0015	0.06	10
0.0017	0.06	10
0.002	0.06	10
0.0021	0.06	10
0.0015	0.07	10
0.0016	0.07	10
0.0018	0.07	10
0.0021	0.08	10
0.0023	0.08	10
0.0025	0.08	10
0.0018	0.09	10
0.0015	0.1	10
0.0018	0.1	10
0.0018	0.11	10
0.002	0.11	10
0.0022	0.11	10
0.0025	0.12	10
0.0019	0.13	10
