loop filter i, loop filter gain, decoded packets
0.0001, 0.001, 14.0
0.0006000000000000001, 0.001, 10.0
0.0011, 0.001, 11.0
0.0016, 0.001, 12.0
0.0021000000000000003, 0.001, 11.0
0.0026000000000000003, 0.001, 5.0
0.0031000000000000003, 0.001, 12.0
0.0036000000000000003, 0.001, 8.0
0.0041, 0.001, 8.0
0.0046, 0.001, 12.0
0.0001, 0.006, 17.0
0.0006000000000000001, 0.006, 16.0
0.0011, 0.006, 16.0
0.0016, 0.006, 14.0
0.0021000000000000003, 0.006, 16.0
0.0026000000000000003, 0.006, 15.0
0.0031000000000000003, 0.006, 16.0
0.0036000000000000003, 0.006, 16.0
0.0041, 0.006, 16.0
0.0046, 0.006, 16.0
0.0001, 0.011, 15.0
0.0006000000000000001, 0.011, 17.0
0.0011, 0.011, 14.0
0.0016, 0.011, 16.0
0.0021000000000000003, 0.011, 16.0
0.0026000000000000003, 0.011, 17.0
0.0031000000000000003, 0.011, 14.0
0.0036000000000000003, 0.011, 13.0
0.0041, 0.011, 15.0
0.0046, 0.011, 16.0
0.0001, 0.016, 17.0
0.0006000000000000001, 0.016, 17.0
0.0011, 0.016, 15.0
0.0016, 0.016, 15.0
0.0021000000000000003, 0.016, 17.0
0.0026000000000000003, 0.016, 16.0
0.0031000000000000003, 0.016, 17.0
0.0036000000000000003, 0.016, 16.0
0.0041, 0.016, 17.0
0.0046, 0.016, 16.0
0.0001, 0.021, 16.0
0.0006000000000000001, 0.021, 17.0
0.0011, 0.021, 16.0
0.0016, 0.021, 16.0
0.0021000000000000003, 0.021, 16.0
0.0026000000000000003, 0.021, 16.0
0.0031000000000000003, 0.021, 15.0
0.0036000000000000003, 0.021, 15.0
0.0041, 0.021, 16.0
0.0046, 0.021, 15.0
0.0001, 0.026000000000000002, 17.0
0.0006000000000000001, 0.026000000000000002, 16.0
0.0011, 0.026000000000000002, 14.0
0.0016, 0.026000000000000002, 15.0
0.0021000000000000003, 0.026000000000000002, 15.0
0.0026000000000000003, 0.026000000000000002, 15.0
0.0031000000000000003, 0.026000000000000002, 15.0
0.0036000000000000003, 0.026000000000000002, 15.0
0.0041, 0.026000000000000002, 14.0
0.0046, 0.026000000000000002, 14.0
0.0001, 0.031000000000000003, 14.0
0.0006000000000000001, 0.031000000000000003, 14.0
0.0011, 0.031000000000000003, 15.0
0.0016, 0.031000000000000003, 14.0
0.0021000000000000003, 0.031000000000000003, 14.0
0.0026000000000000003, 0.031000000000000003, 14.0
0.0031000000000000003, 0.031000000000000003, 15.0
0.0036000000000000003, 0.031000000000000003, 14.0
0.0041, 0.031000000000000003, 15.0
0.0046, 0.031000000000000003, 14.0
0.0001, 0.036000000000000004, 15.0
0.0006000000000000001, 0.036000000000000004, 16.0
0.0011, 0.036000000000000004, 13.0
0.0016, 0.036000000000000004, 14.0
0.0021000000000000003, 0.036000000000000004, 13.0
0.0026000000000000003, 0.036000000000000004, 15.0
0.0031000000000000003, 0.036000000000000004, 15.0
0.0036000000000000003, 0.036000000000000004, 14.0
0.0041, 0.036000000000000004, 14.0
0.0046, 0.036000000000000004, 13.0
0.0001, 0.041, 13.0
0.0006000000000000001, 0.041, 15.0
0.0011, 0.041, 15.0
0.0016, 0.041, 13.0
0.0021000000000000003, 0.041, 14.0
0.0026000000000000003, 0.041, 14.0
0.0031000000000000003, 0.041, 13.0
0.0036000000000000003, 0.041, 13.0
0.0041, 0.041, 13.0
0.0046, 0.041, 14.0
0.0001, 0.046, 12.0
0.0006000000000000001, 0.046, 14.0
0.0011, 0.046, 14.0
0.0016, 0.046, 15.0
0.0021000000000000003, 0.046, 14.0
0.0026000000000000003, 0.046, 13.0
0.0031000000000000003, 0.046, 13.0
0.0036000000000000003, 0.046, 15.0
0.0041, 0.046, 14.0
0.0046, 0.046, 13.0
