loop filter i, loop filter gain, decoded packets
0.0, 0.0, 0.0
0.001, 0.0, 0.0
0.002, 0.0, 0.0
0.003, 0.0, 0.0
0.004, 0.0, 0.0
0.005, 0.0, 0.0
0.006, 0.0, 0.0
0.007, 0.0, 0.0
0.008, 0.0, 0.0
0.009000000000000001, 0.0, 0.0
0.010000000000000002, 0.0, 0.0
0.011000000000000003, 0.0, 0.0
0.012000000000000004, 0.0, 0.0
0.013000000000000005, 0.0, 0.0
0.014000000000000005, 0.0, 0.0
0.015000000000000006, 0.0, 0.0
0.016000000000000007, 0.0, 0.0
0.017000000000000008, 0.0, 0.0
0.01800000000000001, 0.0, 0.0
0.01900000000000001, 0.0, 0.0
0.02000000000000001, 0.0, 0.0
0.02100000000000001, 0.0, 0.0
0.022000000000000013, 0.0, 0.0
0.023000000000000013, 0.0, 0.0
0.024000000000000014, 0.0, 0.0
0.025000000000000015, 0.0, 0.0
0.026000000000000016, 0.0, 0.0
0.027000000000000017, 0.0, 0.0
0.028000000000000018, 0.0, 0.0
0.02900000000000002, 0.0, 0.0
0.0, 0.01, 0.0
0.001, 0.01, 0.0
0.002, 0.01, 0.0
0.003, 0.01, 0.0
0.004, 0.01, 0.0
0.005, 0.01, 0.0
0.006, 0.01, 0.0
0.007, 0.01, 0.0
0.008, 0.01, 0.0
0.009000000000000001, 0.01, 0.0
0.010000000000000002, 0.01, 0.0
0.011000000000000003, 0.01, 0.0
0.012000000000000004, 0.01, 0.0
0.013000000000000005, 0.01, 0.0
0.014000000000000005, 0.01, 0.0
0.015000000000000006, 0.01, 1.0
0.016000000000000007, 0.01, 0.0
0.017000000000000008, 0.01, 0.0
0.01800000000000001, 0.01, 0.0
0.01900000000000001, 0.01, 0.0
0.02000000000000001, 0.01, 0.0
0.02100000000000001, 0.01, 0.0
0.022000000000000013, 0.01, 0.0
0.023000000000000013, 0.01, 0.0
0.024000000000000014, 0.01, 0.0
0.025000000000000015, 0.01, 0.0
0.026000000000000016, 0.01, 1.0
0.027000000000000017, 0.01, 0.0
0.028000000000000018, 0.01, 1.0
0.02900000000000002, 0.01, 1.0
0.0, 0.02, 0.0
0.001, 0.02, 0.0
0.002, 0.02, 0.0
0.003, 0.02, 0.0
0.004, 0.02, 2.0
0.005, 0.02, 0.0
0.006, 0.02, 0.0
0.007, 0.02, 2.0
0.008, 0.02, 2.0
0.009000000000000001, 0.02, 0.0
0.010000000000000002, 0.02, 0.0
0.011000000000000003, 0.02, 0.0
0.012000000000000004, 0.02, 2.0
0.013000000000000005, 0.02, 3.0
0.014000000000000005, 0.02, 0.0
0.015000000000000006, 0.02, 2.0
0.016000000000000007, 0.02, 0.0
0.017000000000000008, 0.02, 0.0
0.01800000000000001, 0.02, 0.0
0.01900000000000001, 0.02, 0.0
0.02000000000000001, 0.02, 1.0
0.02100000000000001, 0.02, 1.0
0.022000000000000013, 0.02, 0.0
0.023000000000000013, 0.02, 0.0
0.024000000000000014, 0.02, 0.0
0.025000000000000015, 0.02, 1.0
0.026000000000000016, 0.02, 0.0
0.027000000000000017, 0.02, 1.0
0.028000000000000018, 0.02, 0.0
0.02900000000000002, 0.02, 1.0
0.0, 0.03, 0.0
0.001, 0.03, 0.0
0.002, 0.03, 0.0
0.003, 0.03, 5.0
0.004, 0.03, 5.0
0.005, 0.03, 0.0
0.006, 0.03, 0.0
0.007, 0.03, 0.0
0.008, 0.03, 0.0
0.009000000000000001, 0.03, 0.0
0.010000000000000002, 0.03, 1.0
0.011000000000000003, 0.03, 0.0
0.012000000000000004, 0.03, 0.0
0.013000000000000005, 0.03, 2.0
0.014000000000000005, 0.03, 0.0
0.015000000000000006, 0.03, 2.0
0.016000000000000007, 0.03, 2.0
0.017000000000000008, 0.03, 1.0
0.01800000000000001, 0.03, 0.0
