loop filter i	 loop filter gain	 decoded packets
0.009	0.04	6
0.003	0.07	6
0.003	0.03	5
0.004	0.03	5
0.003	0.06	5
0.005	0.06	5
0.011	0.04	4
0.008	0.05	4
0.005	0.07	4
0.004	0.04	3
0.006	0.04	3
0.007	0.04	3
0.01	0.04	3
0.018	0.04	3
0.004	0.05	3
0.006	0.05	3
0.011	0.05	3
0.012	0.05	3
0.004	0.06	3
0.005	0.08	3
0.003	0.09	3
0.004	0.09	3
0.013	0.03	2
0.015	0.03	2
0.016	0.03	2
0.003	0.04	2
0.008	0.04	2
0.013	0.04	2
0.015	0.04	2
0.006	0.06	2
0.007	0.06	2
0.01	0.06	2
0.016	0.06	2
0.004	0.07	2
0.006	0.07	2
0.007	0.07	2
0.016	0.07	2
0.003	0.08	2
0.004	0.08	2
0.011	0.08	2
0.006	0.09	2
0.008	0.1	2
0.01	0.1	2
0.004	0.11	2
0.003	0.12	2
0.006	0.12	2
0.006	0.13	2
0.01	0.03	1
0.017	0.03	1
0.012	0.04	1
0.014	0.04	1
0.016	0.04	1
0.003	0.05	1
0.007	0.05	1
0.013	0.05	1
0.016	0.05	1
0.009	0.06	1
0.011	0.06	1
0.013	0.06	1
0.009	0.07	1
0.01	0.07	1
0.013	0.07	1
0.008	0.08	1
0.01	0.08	1
0.007	0.09	1
0.008	0.09	1
0.012	0.09	1
0.013	0.09	1
0.015	0.09	1
0.004	0.1	1
0.005	0.1	1
0.007	0.1	1
0.009	0.1	1
0.011	0.1	1
0.012	0.1	1
0.014	0.1	1
0.015	0.1	1
0.017	0.1	1
0.006	0.11	1
0.007	0.11	1
0.012	0.11	1
0.014	0.11	1
0.015	0.11	1
0.016	0.11	1
0.018	0.11	1
0.005	0.12	1
0.007	0.12	1
0.011	0.12	1
0.012	0.12	1
0.013	0.12	1
0.014	0.12	1
0.016	0.12	1
0.003	0.13	1
0.004	0.13	1
0.005	0.13	1
0.007	0.13	1
0.008	0.13	1
0.01	0.13	1
0.011	0.13	1
0.018	0.13	1
0.004	0.14	1
0.005	0.14	1
0.006	0.14	1
0.008	0.14	1
0.009	0.14	1
0.01	0.14	1
0.011	0.14	1
0.012	0.14	1
0.013	0.14	1
0.003	0.15	1
0.004	0.15	1
0.005	0.15	1
0.008	0.15	1
0.01	0.15	1
0.012	0.15	1
0.014	0.15	1
0.003	0.16	1
0.004	0.16	1
0.007	0.16	1
0.008	0.16	1
0.009	0.16	1
0.011	0.16	1
0.012	0.16	1
0.015	0.16	1
0.003	0.17	1
0.004	0.17	1
0.005	0.17	1
0.007	0.17	1
0.008	0.17	1
0.009	0.17	1
0.012	0.17	1
0.013	0.17	1
0.014	0.17	1
0.004	0.18	1
0.007	0.18	1
0.005	0.03	0
0.006	0.03	0
0.007	0.03	0
0.008	0.03	0
0.009	0.03	0
0.011	0.03	0
0.012	0.03	0
0.014	0.03	0
0.018	0.03	0
0.019	0.03	0
0.005	0.04	0
0.017	0.04	0
0.019	0.04	0
0.005	0.05	0
0.009	0.05	0
0.01	0.05	0
0.014	0.05	0
0.015	0.05	0
0.017	0.05	0
0.018	0.05	0
0.019	0.05	0
0.008	0.06	0
0.012	0.06	0
0.014	0.06	0
0.015	0.06	0
0.017	0.06	0
0.018	0.06	0
0.019	0.06	0
0.008	0.07	0
0.011	0.07	0
0.012	0.07	0
0.014	0.07	0
0.015	0.07	0
0.017	0.07	0
0.018	0.07	0
0.019	0.07	0
0.006	0.08	0
0.007	0.08	0
0.009	0.08	0
0.012	0.08	0
0.013	0.08	0
0.014	0.08	0
0.015	0.08	0
0.016	0.08	0
0.017	0.08	0
0.018	0.08	0
0.019	0.08	0
0.005	0.09	0
0.009	0.09	0
0.01	0.09	0
0.011	0.09	0
0.014	0.09	0
0.016	0.09	0
0.017	0.09	0
0.018	0.09	0
0.019	0.09	0
0.003	0.1	0
0.006	0.1	0
0.013	0.1	0
0.016	0.1	0
0.018	0.1	0
0.019	0.1	0
0.003	0.11	0
0.005	0.11	0
0.008	0.11	0
0.009	0.11	0
0.01	0.11	0
0.011	0.11	0
0.013	0.11	0
0.017	0.11	0
0.019	0.11	0
0.004	0.12	0
0.008	0.12	0
0.009	0.12	0
0.01	0.12	0
0.015	0.12	0
0.017	0.12	0
0.018	0.12	0
0.019	0.12	0
0.009	0.13	0
0.012	0.13	0
0.013	0.13	0
0.014	0.13	0
0.015	0.13	0
0.016	0.13	0
0.017	0.13	0
0.019	0.13	0
0.003	0.14	0
0.007	0.14	0
0.014	0.14	0
0.015	0.14	0
0.016	0.14	0
0.017	0.14	0
0.018	0.14	0
0.019	0.14	0
0.006	0.15	0
0.007	0.15	0
0.009	0.15	0
0.011	0.15	0
0.013	0.15	0
0.015	0.15	0
0.016	0.15	0
0.017	0.15	0
0.018	0.15	0
0.019	0.15	0
0.005	0.16	0
0.006	0.16	0
0.01	0.16	0
0.013	0.16	0
0.014	0.16	0
0.016	0.16	0
0.017	0.16	0
0.018	0.16	0
0.019	0.16	0
0.006	0.17	0
0.01	0.17	0
0.011	0.17	0
0.015	0.17	0
0.016	0.17	0
0.017	0.17	0
0.018	0.17	0
0.019	0.17	0
0.003	0.18	0
0.005	0.18	0
0.006	0.18	0
0.008	0.18	0
0.009	0.18	0
0.01	0.18	0
0.011	0.18	0
0.012	0.18	0
0.013	0.18	0
0.014	0.18	0
0.015	0.18	0
0.016	0.18	0
0.017	0.18	0
0.018	0.18	0
0.019	0.18	0
0.003	0.19	0
0.004	0.19	0
0.005	0.19	0
0.006	0.19	0
0.007	0.19	0
0.008	0.19	0
0.009	0.19	0
0.01	0.19	0
0.011	0.19	0
0.012	0.19	0
0.013	0.19	0
0.014	0.19	0
0.015	0.19	0
0.016	0.19	0
0.017	0.19	0
0.018	0.19	0
0.019	0.19	0
