loop filter i	 loop filter p	 decoded packets
3.10E-05	0.018	5
3.20E-05	0.018	5
3.20E-05	0.019	5
3.80E-05	0.019	5
3.10E-05	0.021	5
3.70E-05	0.021	5
3.60E-05	0.022	5
3.90E-05	0.022	5
4.00E-05	0.022	5
3.00E-05	0.023	5
2.00E-05	0.016	4
2.10E-05	0.016	4
2.30E-05	0.016	4
2.40E-05	0.016	4
2.60E-05	0.016	4
2.70E-05	0.016	4
2.90E-05	0.016	4
3.00E-05	0.016	4
3.10E-05	0.016	4
3.20E-05	0.016	4
3.70E-05	0.016	4
3.90E-05	0.016	4
4.00E-05	0.016	4
4.10E-05	0.016	4
4.50E-05	0.016	4
1.80E-05	0.017	4
1.90E-05	0.017	4
2.00E-05	0.017	4
2.10E-05	0.017	4
2.20E-05	0.017	4
2.30E-05	0.017	4
2.40E-05	0.017	4
2.50E-05	0.017	4
2.60E-05	0.017	4
2.70E-05	0.017	4
2.80E-05	0.017	4
3.00E-05	0.017	4
3.20E-05	0.017	4
3.90E-05	0.017	4
4.00E-05	0.017	4
4.20E-05	0.017	4
4.30E-05	0.017	4
4.40E-05	0.017	4
1.80E-05	0.018	4
1.90E-05	0.018	4
2.00E-05	0.018	4
2.10E-05	0.018	4
2.20E-05	0.018	4
2.30E-05	0.018	4
2.40E-05	0.018	4
2.50E-05	0.018	4
2.60E-05	0.018	4
3.00E-05	0.018	4
3.30E-05	0.018	4
3.40E-05	0.018	4
3.50E-05	0.018	4
3.80E-05	0.018	4
4.00E-05	0.018	4
4.20E-05	0.018	4
4.40E-05	0.018	4
4.50E-05	0.018	4
1.80E-05	0.019	4
1.90E-05	0.019	4
2.00E-05	0.019	4
2.10E-05	0.019	4
2.40E-05	0.019	4
2.50E-05	0.019	4
2.70E-05	0.019	4
2.80E-05	0.019	4
2.90E-05	0.019	4
3.00E-05	0.019	4
3.10E-05	0.019	4
3.30E-05	0.019	4
3.40E-05	0.019	4
3.50E-05	0.019	4
3.60E-05	0.019	4
4.40E-05	0.019	4
1.90E-05	0.02	4
2.00E-05	0.02	4
2.10E-05	0.02	4
2.20E-05	0.02	4
2.30E-05	0.02	4
2.40E-05	0.02	4
2.50E-05	0.02	4
2.60E-05	0.02	4
2.70E-05	0.02	4
2.80E-05	0.02	4
2.90E-05	0.02	4
3.00E-05	0.02	4
3.10E-05	0.02	4
3.20E-05	0.02	4
3.50E-05	0.02	4
3.80E-05	0.02	4
3.90E-05	0.02	4
4.00E-05	0.02	4
4.30E-05	0.02	4
1.80E-05	0.021	4
1.90E-05	0.021	4
2.00E-05	0.021	4
2.10E-05	0.021	4
2.20E-05	0.021	4
2.30E-05	0.021	4
2.40E-05	0.021	4
2.50E-05	0.021	4
2.60E-05	0.021	4
2.70E-05	0.021	4
2.80E-05	0.021	4
2.90E-05	0.021	4
3.00E-05	0.021	4
3.20E-05	0.021	4
3.30E-05	0.021	4
3.40E-05	0.021	4
3.50E-05	0.021	4
3.80E-05	0.021	4
3.90E-05	0.021	4
4.00E-05	0.021	4
4.10E-05	0.021	4
4.40E-05	0.021	4
1.80E-05	0.022	4
1.90E-05	0.022	4
2.00E-05	0.022	4
2.10E-05	0.022	4
2.20E-05	0.022	4
2.30E-05	0.022	4
2.90E-05	0.022	4
3.30E-05	0.022	4
3.40E-05	0.022	4
3.50E-05	0.022	4
3.70E-05	0.022	4
3.80E-05	0.022	4
4.20E-05	0.022	4
4.30E-05	0.022	4
1.80E-05	0.023	4
1.90E-05	0.023	4
2.00E-05	0.023	4
2.20E-05	0.023	4
2.30E-05	0.023	4
2.40E-05	0.023	4
3.10E-05	0.023	4
3.20E-05	0.023	4
3.50E-05	0.023	4
4.10E-05	0.023	4
4.30E-05	0.023	4
1.80E-05	0.024	4
2.10E-05	0.024	4
2.30E-05	0.024	4
2.80E-05	0.024	4
3.10E-05	0.024	4
3.30E-05	0.024	4
3.50E-05	0.024	4
3.60E-05	0.024	4
3.70E-05	0.024	4
3.90E-05	0.024	4
4.00E-05	0.024	4
4.10E-05	0.024	4
1.80E-05	0.016	3
1.90E-05	0.016	3
2.20E-05	0.016	3
2.50E-05	0.016	3
2.80E-05	0.016	3
3.30E-05	0.016	3
3.40E-05	0.016	3
3.50E-05	0.016	3
3.60E-05	0.016	3
3.80E-05	0.016	3
4.30E-05	0.016	3
2.90E-05	0.017	3
3.10E-05	0.017	3
3.30E-05	0.017	3
3.40E-05	0.017	3
3.50E-05	0.017	3
3.60E-05	0.017	3
3.70E-05	0.017	3
3.80E-05	0.017	3
4.10E-05	0.017	3
4.50E-05	0.017	3
2.80E-05	0.018	3
2.90E-05	0.018	3
3.60E-05	0.018	3
3.70E-05	0.018	3
4.10E-05	0.018	3
4.30E-05	0.018	3
2.20E-05	0.019	3
2.30E-05	0.019	3
2.60E-05	0.019	3
1.80E-05	0.02	3
3.30E-05	0.02	3
3.40E-05	0.02	3
3.60E-05	0.02	3
3.70E-05	0.02	3
4.40E-05	0.02	3
3.60E-05	0.021	3
4.20E-05	0.021	3
4.30E-05	0.021	3
4.50E-05	0.021	3
2.40E-05	0.022	3
2.50E-05	0.022	3
2.60E-05	0.022	3
2.70E-05	0.022	3
2.80E-05	0.022	3
3.00E-05	0.022	3
3.10E-05	0.022	3
3.20E-05	0.022	3
4.10E-05	0.022	3
2.10E-05	0.023	3
2.50E-05	0.023	3
2.60E-05	0.023	3
2.70E-05	0.023	3
2.80E-05	0.023	3
2.90E-05	0.023	3
3.30E-05	0.023	3
3.40E-05	0.023	3
3.60E-05	0.023	3
3.70E-05	0.023	3
3.80E-05	0.023	3
3.90E-05	0.023	3
4.20E-05	0.023	3
1.90E-05	0.024	3
2.00E-05	0.024	3
2.20E-05	0.024	3
2.40E-05	0.024	3
2.50E-05	0.024	3
2.60E-05	0.024	3
2.70E-05	0.024	3
2.90E-05	0.024	3
3.00E-05	0.024	3
3.20E-05	0.024	3
3.40E-05	0.024	3
3.80E-05	0.024	3
4.20E-05	0.024	3
4.30E-05	0.024	3
4.40E-05	0.024	3
4.40E-05	0.016	2
2.70E-05	0.018	2
3.70E-05	0.019	2
3.90E-05	0.019	2
4.10E-05	0.019	2
4.20E-05	0.019	2
4.30E-05	0.019	2
4.50E-05	0.019	2
4.10E-05	0.02	2
4.20E-05	0.02	2
4.50E-05	0.02	2
4.40E-05	0.022	2
4.50E-05	0.022	2
4.00E-05	0.023	2
4.40E-05	0.023	2
4.50E-05	0.023	2
4.50E-05	0.024	2
4.20E-05	0.016	1
4.00E-05	0.019	1
3.90E-05	0.018	0
