sync delay 1, sync offset 1, decoded packets
0.0, -50000.0, 0.0
1.0, -50000.0, 0.0
2.0, -50000.0, 0.0
3.0, -50000.0, 0.0
4.0, -50000.0, 0.0
5.0, -50000.0, 3.0
6.0, -50000.0, 9.0
7.0, -50000.0, 10.0
8.0, -50000.0, 11.0
9.0, -50000.0, 11.0
10.0, -50000.0, 2.0
11.0, -50000.0, 5.0
12.0, -50000.0, 0.0
0.0, -45000.0, 0.0
1.0, -45000.0, 0.0
2.0, -45000.0, 0.0
3.0, -45000.0, 0.0
4.0, -45000.0, 0.0
5.0, -45000.0, 2.0
6.0, -45000.0, 9.0
7.0, -45000.0, 10.0
8.0, -45000.0, 11.0
9.0, -45000.0, 11.0
10.0, -45000.0, 2.0
11.0, -45000.0, 5.0
12.0, -45000.0, 0.0
0.0, -40000.0, 0.0
1.0, -40000.0, 0.0
2.0, -40000.0, 0.0
3.0, -40000.0, 0.0
4.0, -40000.0, 0.0
5.0, -40000.0, 2.0
6.0, -40000.0, 10.0
7.0, -40000.0, 10.0
8.0, -40000.0, 11.0
9.0, -40000.0, 11.0
10.0, -40000.0, 2.0
11.0, -40000.0, 5.0
12.0, -40000.0, 0.0
0.0, -35000.0, 0.0
1.0, -35000.0, 0.0
2.0, -35000.0, 0.0
3.0, -35000.0, 0.0
4.0, -35000.0, 0.0
5.0, -35000.0, 2.0
6.0, -35000.0, 10.0
7.0, -35000.0, 10.0
8.0, -35000.0, 11.0
9.0, -35000.0, 10.0
10.0, -35000.0, 2.0
11.0, -35000.0, 5.0
12.0, -35000.0, 0.0
0.0, -30000.0, 0.0
1.0, -30000.0, 0.0
2.0, -30000.0, 0.0
3.0, -30000.0, 0.0
4.0, -30000.0, 0.0
5.0, -30000.0, 2.0
6.0, -30000.0, 10.0
7.0, -30000.0, 11.0
8.0, -30000.0, 11.0
9.0, -30000.0, 10.0
10.0, -30000.0, 5.0
11.0, -30000.0, 5.0
12.0, -30000.0, 0.0
0.0, -25000.0, 0.0
1.0, -25000.0, 0.0
2.0, -25000.0, 0.0
3.0, -25000.0, 0.0
4.0, -25000.0, 0.0
5.0, -25000.0, 4.0
6.0, -25000.0, 10.0
7.0, -25000.0, 11.0
8.0, -25000.0, 11.0
9.0, -25000.0, 10.0
10.0, -25000.0, 5.0
11.0, -25000.0, 5.0
12.0, -25000.0, 0.0
0.0, -20000.0, 0.0
1.0, -20000.0, 0.0
2.0, -20000.0, 0.0
3.0, -20000.0, 0.0
4.0, -20000.0, 0.0
5.0, -20000.0, 7.0
6.0, -20000.0, 11.0
7.0, -20000.0, 11.0
8.0, -20000.0, 11.0
9.0, -20000.0, 10.0
10.0, -20000.0, 5.0
11.0, -20000.0, 5.0
12.0, -20000.0, 0.0
0.0, -15000.0, 1.0
1.0, -15000.0, 0.0
2.0, -15000.0, 0.0
3.0, -15000.0, 0.0
4.0, -15000.0, 1.0
5.0, -15000.0, 8.0
6.0, -15000.0, 11.0
7.0, -15000.0, 11.0
8.0, -15000.0, 10.0
9.0, -15000.0, 2.0
10.0, -15000.0, 5.0
11.0, -15000.0, 5.0
12.0, -15000.0, 1.0
0.0, -10000.0, 1.0
1.0, -10000.0, 0.0
2.0, -10000.0, 1.0
3.0, -10000.0, 0.0
4.0, -10000.0, 3.0
5.0, -10000.0, 10.0
6.0, -10000.0, 10.0
7.0, -10000.0, 2.0
8.0, -10000.0, 2.0
9.0, -10000.0, 2.0
10.0, -10000.0, 5.0
11.0, -10000.0, 5.0
12.0, -10000.0, 1.0
